Tid,Kilopris_Fersk,Vekt_Fersk,Frosen oppalen laks_Kilopris (kr),Frosen oppalen laks_Vekt (tonn)
2007U33,25.27,25.56,24.9,24.9
2007U34,25.27,24.59,25.98,26.4
2007U35,27.82,25.36,27.67,28.17
2007U36,28.15,26.57,29.62,29.28
2007U37,27.97,29.58,28.0,27.86
2007U38,28.36,27.91,26.6,27.67
2007U39,25.53,25.67,26.24,25.67
2007U40,26.54,26.43,26.1,26.54
2007U41,25.89,25.51,28.7,27.07
2007U42,27.3,28.08,25.96,26.79
2007U43,26.54,25.7,27.21,28.54
2007U44,26.53,26.68,28.66,27.55
2007U45,30.48,29.78,32.81,31.18
2007U46,34.68,34.82,34.97,34.58
2007U47,36.28,36.48,40.03,37.0
2007U48,40.5,40.76,43.05,41.07
2007U49,38.57,42.51,39.0,37.91
2007U50,37.85,38.13,36.8,37.24
2007U51,33.29,36.12,31.2,31.17
2007U52,29.19,30.67,28.65,28.06
2008U01,28.59,29.24,27.02,27.57
2008U02,28.19,26.85,28.04,28.73
2008U03,27.11,27.55,28.37,28.26
2008U04,29.13,28.38,27.5,28.33
2008U05,28.91,27.19,28.3,30.62
2008U06,29.56,28.22,28.78,29.17
2008U07,29.82,29.22,27.32,28.76
2008U08,26.99,27.33,26.17,26.54
2008U09,25.83,26.17,25.21,25.33
2008U10,24.53,24.77,25.56,24.87
2008U11,26.33,25.73,28.95,28.11
2008U12,26.96,27.52,26.43,26.95
2008U13,24.49,25.36,24.39,24.77
2008U14,23.69,23.99,23.7,23.9
2008U15,24.89,24.22,25.17,25.14
2008U16,25.98,25.21,29.0,28.79
2008U17,25.07,26.77,25.18,24.69
2008U18,26.14,25.35,24.94,25.92
2008U19,26.96,25.71,27.21,28.03
2008U20,26.13,26.41,25.47,25.6
2008U21,28.61,26.87,25.96,27.35
2008U22,25.33,25.23,27.18,27.28
2008U23,26.49,25.98,29.81,29.05
2008U24,28.59,29.41,30.21,29.85
2008U25,26.45,28.1,29.94,27.99
2008U26,26.98,28.1,26.79,26.32
2008U27,26.61,27.15,26.06,27.46
2008U28,26.05,25.24,27.37,28.01
2008U29,26.83,26.08,31.42,29.95
2008U30,27.44,29.64,28.6,27.92
2008U31,27.65,28.16,29.79,27.49
2008U32,30.94,29.08,30.1,31.28
2008U33,33.7,30.05,31.56,32.4
2008U34,33.7,32.62,37.34,34.16
2008U35,33.15,35.55,36.76,35.03
2008U36,36.1,35.73,38.36,36.65
2008U37,34.21,37.97,30.44,31.32
2008U38,29.1,30.32,30.91,29.83
2008U39,28.31,29.76,27.9,28.47
2008U40,26.07,26.81,27.72,27.51
2008U41,28.2,28.52,27.69,28.55
2008U42,28.95,28.48,30.88,30.68
2008U43,28.17,29.82,29.69,28.92
2008U44,34.23,31.84,33.76,34.88
2008U45,35.87,35.37,35.12,36.65
2008U46,39.26,38.46,37.92,39.6
2008U47,38.87,38.62,41.78,39.51
2008U48,38.03,39.65,38.74,37.16
2008U49,39.09,40.05,40.73,40.07
2008U50,38.49,38.5,39.85,38.85
2008U51,39.58,41.31,37.07,37.62
2008U52,37.86,36.76,36.15,37.2
2009U01,37.31,37.84,36.06,36.11
2009U02,36.3,35.76,38.42,36.05
2009U03,43.46,43.13,40.37,43.24
2009U04,39.96,38.43,38.82,40.44
2009U05,39.71,39.98,41.61,40.81
2009U06,40.56,40.89,40.79,40.44
2009U07,42.2,40.94,43.08,43.61
2009U08,42.21,42.71,38.75,40.05
2009U09,36.08,36.67,33.37,34.11
2009U10,28.54,31.61,33.21,31.2
2009U11,30.62,30.11,29.59,29.35
2009U12,26.55,28.91,27.47,27.27
2009U13,26.59,25.97,24.55,25.23
2009U14,23.01,24.2,24.18,21.63
2009U15,24.16,25.23,26.06,26.15
2009U16,28.49,25.9,26.4,26.9
2009U17,24.95,25.65,25.26,26.71
2009U18,27.51,25.31,29.84,28.49
2009U19,28.64,28.77,28.27,29.07
2009U20,29.61,26.64,28.7,29.34
2009U21,29.11,29.11,31.27,29.06
2009U22,28.3,29.51,25.92,26.42
2009U23,26.9,27.59,26.9,27.7
2009U24,26.56,26.4,28.31,27.17
2009U25,27.67,27.36,28.6,29.1
2009U26,26.02,26.92,24.28,23.99
2009U27,26.24,26.66,27.02,25.1
2009U28,27.73,26.59,27.15,26.63
2009U29,30.78,29.16,33.11,29.56
2009U30,33.35,33.57,36.51,34.76
2009U31,34.84,35.27,37.03,36.13
2009U32,38.9,38.97,36.02,37.7
2009U33,39.85,37.93,43.23,42.27
2009U34,42.41,42.0,43.51,42.31
2009U35,40.77,43.81,39.22,40.22
2009U36,43.4,41.19,44.26,45.15
2009U37,43.01,45.12,39.92,40.14
2009U38,42.03,43.43,37.31,38.16
2009U39,30.04,33.73,35.87,32.82
2009U40,38.32,35.68,39.7,38.74
2009U41,36.98,38.5,40.17,39.94
2009U42,48.61,45.65,50.58,48.52
2009U43,48.75,50.34,49.72,49.27
2009U44,45.62,46.8,48.76,49.41
2009U45,44.13,46.68,43.63,44.07
2009U46,44.01,43.83,47.4,44.35
2009U47,44.62,46.29,40.28,42.03
2009U48,38.83,39.37,37.51,37.65
2009U49,33.6,36.47,41.66,37.6
2009U50,42.23,42.26,37.48,37.7
2009U51,34.95,35.82,35.71,34.87
2009U52,34.05,34.43,35.59,35.43
2009U53,34.44,34.4,37.06,36.51
2010U01,39.95,37.61,43.38,41.76
2010U02,46.84,45.29,47.2,42.36
2010U03,45.77,45.57,44.31,46.28
2010U04,43.43,39.78,41.76,44.78
2010U05,41.14,39.1,41.79,42.47
2010U06,42.3,40.32,39.35,42.24
2010U07,39.25,37.62,39.96,36.99
2010U08,37.92,38.65,41.51,38.77
2010U09,40.94,42.69,42.26,39.76
2010U10,46.23,44.81,46.68,45.63
2010U11,41.74,46.63,43.03,39.06
2010U12,41.54,43.18,40.07,40.39
2010U13,42.43,43.09,41.86,41.06
2010U14,42.52,42.98,48.79,44.51
2010U15,49.05,50.06,53.26,51.3
2010U16,57.27,55.06,54.56,61.64
2010U17,51.27,49.24,56.95,53.21
2010U18,58.48,58.54,57.88,56.07
2010U19,61.98,62.51,55.56,59.03
2010U20,55.65,56.47,62.19,56.88
2010U21,57.41,65.71,64.7,57.91
2010U22,67.4,69.44,70.96,65.02
2010U23,65.12,70.38,57.52,59.41
2010U24,59.23,59.61,56.47,56.36
2010U25,52.78,55.28,55.39,53.36
2010U26,59.67,58.64,61.5,61.36
2010U27,59.63,60.65,62.46,63.57
2010U28,66.44,62.94,73.09,69.28
2010U29,75.25,73.53,72.5,72.42
2010U30,66.01,70.35,64.08,64.96
2010U31,59.55,63.2,61.98,58.36
2010U32,62.7,63.76,65.13,62.82
2010U33,62.17,64.85,70.18,65.79
2010U34,72.17,72.47,69.91,66.02
2010U35,68.96,67.87,65.71,69.36
2010U36,65.12,63.22,60.55,62.11
2010U37,55.63,59.53,54.89,56.8
2010U38,53.85,55.56,57.21,55.3
2010U39,54.52,56.61,53.17,55.32
2010U40,51.25,49.05,49.02,53.89
2010U41,53.36,48.65,54.73,53.76
2010U42,58.52,56.23,55.46,57.28
2010U43,56.86,56.96,56.52,54.69
2010U44,65.16,62.2,67.94,67.57
2010U45,71.75,65.12,68.21,71.5
2010U46,66.79,67.32,75.4,71.16
2010U47,73.71,76.09,61.34,66.17
2010U48,61.7,65.0,58.55,58.25
2010U49,55.14,55.4,57.44,56.07
2010U50,53.62,57.33,57.43,52.99
2010U51,62.1,62.6,59.15,60.28
2010U52,58.49,57.93,57.77,58.95
2011U01,57.37,59.07,53.84,55.9
2011U02,59.5,55.76,58.2,58.87
2011U03,66.66,65.15,62.88,63.9
2011U04,57.41,60.83,56.82,56.73
2011U05,65.65,60.0,71.55,72.45
2011U06,65.13,67.78,67.33,68.21
2011U07,69.53,71.45,61.94,62.85
2011U08,61.33,65.48,61.85,58.52
2011U09,64.09,69.9,61.06,60.12
2011U10,60.18,64.64,54.13,56.16
2011U11,55.05,54.45,55.1,51.82
2011U12,50.8,53.07,47.73,48.62
2011U13,50.7,46.83,53.87,54.66
2011U14,54.48,52.99,61.56,58.63
